index,date,points,fgp
937,2015-12-26,12,.308
938,2015-12-28,14,.400
939,2015-12-29,34,.542
940,2016-01-02,29,.611
941,2016-01-04,20,.636
942,2016-01-06,34,.545
943,2016-01-08,13,.417
944,2016-01-10,37,.682
945,2016-01-12,27,.529
946,2016-01-14,22,.529
947,2016-01-15,19,.500
948,2016-01-18,16,.438
949,2016-01-20,17,.583
950,2016-01-21,22,.529
951,2016-01-23,26,.407
952,2016-01-25,25,.733
953,2016-01-27,21,.875
954,2016-01-29,20,.438
955,2016-01-30,29,.588
956,2016-02-01,24,.409
957,2016-02-03,23,.476
958,2016-02-05,30,.391
959,2016-02-06,27,.550
960,2016-02-08,21,.500
961,2016-02-10,29,.545
962,2016-02-18,25,.579
963,2016-02-21,25,.500
964,2016-02-22,12,.278
965,2016-02-24,23,.615
966,2016-02-26,25,.500
967,2016-02-29,33,.636
968,2016-03-04,19,.389
969,2016-03-05,28,.550
970,2016-03-07,28,.579
971,2016-03-09,25,.421
972,2016-03-10,24,.500
973,2016-03-13,27,.600
974,2016-03-14,23,.500
975,2016-03-18,18,.400
976,2016-03-19,26,.650
977,2016-03-21,33,.632
978,2016-03-23,26,.409
979,2016-03-24,30,.813
980,2016-03-26,27,.476
981,2016-03-31,24,.727
982,2016-04-01,29,.462
983,2016-04-03,31,.636
984,2016-04-05,17,.778
985,2016-04-09,33,.765
986,2016-04-11,34,.813
987,2016-10-25,19,.643
988,2016-10-28,21,.438
989,2016-10-29,23,.438
990,2016-11-01,19,.500
991,2016-11-03,30,.545
992,2016-11-05,25,.391
993,2016-11-08,23,.471
994,2016-11-11,27,.500
